#NAME,d13C,methane,pairing,Name,Days,Sediment_g_mL,methane
E1R1_0_3cm_-CH4_+O2,4.698,No,1,E1R1_0_3cm_+CH4_+O2,16,50,2.5
E1R1_3_6cm_-CH4_+O2,6.341,No,2,E1R1_3_6cm_+CH4_+O2,16,50,2.5
E1R1_6_9cm_-CH4_+O2,6.559,No,3,E1R1_6_9cm_+CH4_+O2,16,50,2.5
E1R2_0_3cm_-CH4_+O2,4.938,No,4,E1R2_0_3cm_+CH4_+O2,16,50,2.5
E1R2_3_6cm_-CH4_+O2,6.493,No,5,E1R2_3_6cm_+CH4_+O2,16,50,2.5
E1R2_6_9cm_-CH4_+O2,7.102,No,6,E1R2_6_9cm_+CH4_+O2,16,50,2.5
E1R1_0_3cm_+CH4_+O2,32.154,Yes,1,E1R1_0_3cm_+CH4_+O2,16,50,2.5
E1R1_3_6cm_+CH4_+O2,187.93,Yes,2,E1R1_3_6cm_+CH4_+O2,16,50,2.5
E1R1_6_9cm_+CH4_+O2,148.89,Yes,3,E1R1_6_9cm_+CH4_+O2,16,50,2.5
E1R2_0_3cm_+CH4_+O2,1098.424,Yes,4,E1R2_0_3cm_+CH4_+O2,16,50,2.5
E1R2_3_6cm_+CH4_+O2,946.117,Yes,5,E1R2_3_6cm_+CH4_+O2,16,50,2.5
E1R2_6_9cm_+CH4_+O2,986.35,Yes,6,E1R2_6_9cm_+CH4_+O2,16,50,2.5
E3_0_3cm_+CH4_+O2,16.565,Yes,7,E3_0_3cm_+CH4_+O2,19,50,2.5
E3_0_3cm_-CH4_+O2,4.95,No,7,E3_0_3cm_+CH4_+O2,19,50,2.5
E4_0_3cm_+CH4_+O2,52.249,Yes,8,E4_0_3cm_+CH4_+O2,12,50,2.5
E4_0_3cm_-CH4_+O2,9.823,No,8,E4_0_3cm_+CH4_+O2,12,50,2.5
E5_4_8cm_+CH4_-O2,48.66,Yes,9,E5_4_8cm_+CH4_-O2,6,10,0.5
E5_4_8cm_-CH4_-O2,4.575,No,9,E5_4_8cm_+CH4_-O2,6,10,0.5
E5_0_4cm_+CH4_+O2,10.35,Yes,10,E5_0_4cm_+CH4_+O2,6,10,0.5
E5_0_4cm_-CH4_+O2,7.64,No,10,E5_0_4cm_+CH4_+O2,6,10,0.5
E6_4_8cm_+CH4_-O2,8.463,Yes,11,E6_4_8cm_+CH4_-O2,6,10,0.5
E6_4_8cm_-CH4_-O2,4.953,No,11,E6_4_8cm_+CH4_-O2,6,10,0.5
E6_0_4cm_+CH4_+O2,8.515,Yes,12,E6_0_4cm_+CH4_+O2,6,10,0.5
E6_0_4cm_-CH4_+O2,6.33,No,12,E6_0_4cm_+CH4_+O2,6,10,0.5
E5E6_FSWC_-CH4_-O2,7.67,No,13,E5E6_FSWC_+CH4_-O2,6,1,0.5
E5E6_FSWC_+CH4_-O2,6.438,Yes,13,E5E6_FSWC_+CH4_-O2,6,1,0.5
E5E6_FSWC_-CH4_+O2,6.62,No,14,E5E6_FSWC_+CH4_+O2,6,1,0.5
E5E6_FSWC_+CH4_+O2,6.281,Yes,14,E5E6_FSWC_+CH4_+O2,6,1,0.5