Taxon1,Taxon2,Correlation,P.value,Method
p__Latescibacterota,p__Cloacimonadota,0.948,0,secom_pearson1
p__LCP_89,p__Cloacimonadota,0.8717,2e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Cloacimonadota,0.9521,0,secom_pearson1
p__Myxococcota,p__Cloacimonadota,-0.9089,0,secom_pearson1
p__Nanoarchaeota,p__Cloacimonadota,0.9886,0,secom_pearson1
p__NB1_j,p__Cloacimonadota,-0.8994,1e-04,secom_pearson1
p__Nitrospinota,p__Cloacimonadota,-0.9373,0,secom_pearson1
p__Nitrospirota,p__Cloacimonadota,-0.768,0.0035,secom_pearson1
p__NKB15,p__Cloacimonadota,0.7583,0.0179,secom_pearson1
p__Patescibacteria,p__Cloacimonadota,0.8144,0.0013,secom_pearson1
p__PAUC34f,p__Cloacimonadota,0.8245,0.001,secom_pearson1
p__Planctomycetota,p__Cloacimonadota,-0.8991,1e-04,secom_pearson1
p__Proteobacteria,p__Cloacimonadota,-0.8357,7e-04,secom_pearson1
p__Spirochaetota,p__Cloacimonadota,0.9058,0,secom_pearson1
p__Sumerlaeota,p__Cloacimonadota,0.8302,0.0029,secom_pearson1
p__Sva0485,p__Cloacimonadota,0.8869,1e-04,secom_pearson1
p__Thermoplasmatota,p__Cloacimonadota,0.9639,0,secom_pearson1
p__Verrucomicrobiota,p__Cloacimonadota,-0.8415,6e-04,secom_pearson1
p__WOR_1,p__Cloacimonadota,0.7874,0.0118,secom_pearson1
p__WPS_2,p__Cloacimonadota,-0.7583,0.0179,secom_pearson1
p__WS1,p__Cloacimonadota,0.9321,3e-04,secom_pearson1
p__WS2,p__Cloacimonadota,0.8357,0.005,secom_pearson1
p__Zixibacteria,p__Cloacimonadota,0.9459,0,secom_pearson1
p__Asgardarchaeota,p__Crenarchaeota,-0.6139,0.0337,secom_pearson1
p__Caldatribacteriota,p__Crenarchaeota,-0.6647,0.0257,secom_pearson1
p__Chloroflexi,p__Crenarchaeota,-0.6237,0.0302,secom_pearson1
p__Cloacimonadota,p__Crenarchaeota,-0.7585,0.0042,secom_pearson1
p__Desulfobacterota,p__Crenarchaeota,-0.9185,0,secom_pearson1
p__Fermentibacterota,p__Crenarchaeota,-0.8166,0.0012,secom_pearson1
p__Latescibacterota,p__Crenarchaeota,-0.8789,2e-04,secom_pearson1
p__Myxococcota,p__Crenarchaeota,0.7812,0.0027,secom_pearson1
p__Nanoarchaeota,p__Crenarchaeota,-0.7064,0.0102,secom_pearson1
p__Nitrospinota,p__Crenarchaeota,0.7293,0.0071,secom_pearson1
p__Planctomycetota,p__Crenarchaeota,0.6345,0.0267,secom_pearson1
p__Spirochaetota,p__Crenarchaeota,-0.6992,0.0114,secom_pearson1
p__Sva0485,p__Crenarchaeota,-0.9321,0,secom_pearson1
p__Thermoplasmatota,p__Crenarchaeota,-0.5891,0.0439,secom_pearson1
p__WS1,p__Crenarchaeota,0.7578,0.018,secom_pearson1
Not_Assigned,p__Cyanobacteria,-0.694,0.0123,secom_pearson1
p__Acetothermia,p__Cyanobacteria,-0.9121,6e-04,secom_pearson1
p__Actinobacteriota,p__Cyanobacteria,-0.778,0.0029,secom_pearson1
p__Asgardarchaeota,p__Cyanobacteria,-0.7734,0.0032,secom_pearson1
p__Bacteroidota,p__Cyanobacteria,0.7303,0.007,secom_pearson1
p__Bdellovibrionota,p__Cyanobacteria,0.7636,0.0039,secom_pearson1
p__Caldatribacteriota,p__Cyanobacteria,-0.8632,6e-04,secom_pearson1
p__Calditrichota,p__Cyanobacteria,-0.7011,0.0111,secom_pearson1
p__Chloroflexi,p__Cyanobacteria,-0.8295,8e-04,secom_pearson1
p__Cloacimonadota,p__Cyanobacteria,-0.8197,0.0011,secom_pearson1
p__Desulfobacterota,p__Cyanobacteria,-0.637,0.0259,secom_pearson1
p__Elusimicrobiota,p__Cyanobacteria,-0.8113,0.0044,secom_pearson1
p__Fermentibacterota,p__Cyanobacteria,-0.7418,0.0057,secom_pearson1
p__Gemmatimonadota,p__Cyanobacteria,-0.8978,1e-04,secom_pearson1
p__Hydrogenedentes,p__Cyanobacteria,-0.8366,7e-04,secom_pearson1
p__Latescibacterota,p__Cyanobacteria,-0.7815,0.0027,secom_pearson1
p__LCP_89,p__Cyanobacteria,-0.7707,0.0033,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Cyanobacteria,-0.8457,5e-04,secom_pearson1
p__Myxococcota,p__Cyanobacteria,0.7682,0.0035,secom_pearson1
p__Nanoarchaeota,p__Cyanobacteria,-0.8549,4e-04,secom_pearson1
p__NB1_j,p__Cyanobacteria,0.7852,0.0025,secom_pearson1
p__Nitrospinota,p__Cyanobacteria,0.7388,0.0061,secom_pearson1
p__Patescibacteria,p__Cyanobacteria,-0.6756,0.0159,secom_pearson1
p__PAUC34f,p__Cyanobacteria,-0.6762,0.0158,secom_pearson1
p__Planctomycetota,p__Cyanobacteria,0.682,0.0146,secom_pearson1
p__Proteobacteria,p__Cyanobacteria,0.7076,0.01,secom_pearson1
p__Spirochaetota,p__Cyanobacteria,-0.8878,1e-04,secom_pearson1
p__Sumerlaeota,p__Cyanobacteria,-0.9058,3e-04,secom_pearson1
p__Sva0485,p__Cyanobacteria,-0.7164,0.0088,secom_pearson1
p__Thermoplasmatota,p__Cyanobacteria,-0.8072,0.0015,secom_pearson1
p__Verrucomicrobiota,p__Cyanobacteria,0.7668,0.0036,secom_pearson1
p__WPS_2,p__Cyanobacteria,0.857,0.0032,secom_pearson1
p__WS2,p__Cyanobacteria,-0.8668,0.0025,secom_pearson1
p__Zixibacteria,p__Cyanobacteria,-0.8447,5e-04,secom_pearson1
Not_Assigned,p__Dependentiae,0.9673,0,secom_pearson1
p__Acidobacteriota,p__Dependentiae,0.9203,0,secom_pearson1
p__Actinobacteriota,p__Dependentiae,0.85,5e-04,secom_pearson1
p__Asgardarchaeota,p__Dependentiae,0.7986,0.0018,secom_pearson1
p__Bacteroidota,p__Dependentiae,-0.8715,2e-04,secom_pearson1
p__Bdellovibrionota,p__Dependentiae,-0.7145,0.009,secom_pearson1
p__Caldatribacteriota,p__Dependentiae,0.7567,0.007,secom_pearson1
p__Calditrichota,p__Dependentiae,0.9531,0,secom_pearson1
p__Chloroflexi,p__Dependentiae,0.7876,0.0024,secom_pearson1
p__Cloacimonadota,p__Dependentiae,0.6688,0.0174,secom_pearson1
p__Diatomea,p__Dependentiae,-0.8329,8e-04,secom_pearson1
p__Elusimicrobiota,p__Dependentiae,0.9374,1e-04,secom_pearson1
p__Fermentibacterota,p__Dependentiae,0.6014,0.0386,secom_pearson1
p__Gemmatimonadota,p__Dependentiae,0.7274,0.0073,secom_pearson1
p__Halobacterota,p__Dependentiae,0.8466,5e-04,secom_pearson1
p__LCP_89,p__Dependentiae,0.7473,0.0052,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Dependentiae,0.7863,0.0024,secom_pearson1
p__Nanoarchaeota,p__Dependentiae,0.7114,0.0095,secom_pearson1
p__NB1_j,p__Dependentiae,-0.8436,6e-04,secom_pearson1
p__Nitrospirota,p__Dependentiae,-0.8938,1e-04,secom_pearson1
p__NKB15,p__Dependentiae,0.8866,0.0014,secom_pearson1
p__Patescibacteria,p__Dependentiae,0.8334,8e-04,secom_pearson1
p__PAUC34f,p__Dependentiae,0.7795,0.0028,secom_pearson1
p__Planctomycetota,p__Dependentiae,-0.6526,0.0214,secom_pearson1
p__Proteobacteria,p__Dependentiae,-0.9119,0,secom_pearson1
p__Thermoplasmatota,p__Dependentiae,0.8124,0.0013,secom_pearson1
p__Verrucomicrobiota,p__Dependentiae,-0.8913,1e-04,secom_pearson1
p__WOR_1,p__Dependentiae,0.8016,0.0094,secom_pearson1
p__WPS_2,p__Dependentiae,-0.7983,0.0099,secom_pearson1
p__WS1,p__Dependentiae,0.9058,8e-04,secom_pearson1
p__Zixibacteria,p__Dependentiae,0.815,0.0012,secom_pearson1
p__Asgardarchaeota,p__Desulfobacterota,0.651,0.0219,secom_pearson1
p__Bdellovibrionota,p__Desulfobacterota,-0.5878,0.0445,secom_pearson1
p__Caldatribacteriota,p__Desulfobacterota,0.6957,0.0174,secom_pearson1
p__Campilobacterota,p__Desulfobacterota,-0.6609,0.0193,secom_pearson1
p__Chloroflexi,p__Desulfobacterota,0.6387,0.0254,secom_pearson1
p__Cloacimonadota,p__Desulfobacterota,0.7728,0.0032,secom_pearson1
p__Crenarchaeota,p__Desulfobacterota,-0.9185,0,secom_pearson1
p__Cyanobacteria,p__Desulfobacterota,-0.637,0.0259,secom_pearson1
p__Fermentibacterota,p__Desulfobacterota,0.7806,0.0027,secom_pearson1
p__Hydrogenedentes,p__Desulfobacterota,0.7165,0.0087,secom_pearson1
p__Latescibacterota,p__Desulfobacterota,0.8903,1e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Desulfobacterota,0.5947,0.0414,secom_pearson1
p__Myxococcota,p__Desulfobacterota,-0.7252,0.0076,secom_pearson1
p__Nanoarchaeota,p__Desulfobacterota,0.7239,0.0078,secom_pearson1
p__Nitrospinota,p__Desulfobacterota,-0.799,0.0018,secom_pearson1
p__Spirochaetota,p__Desulfobacterota,0.8025,0.0017,secom_pearson1
p__Sva0485,p__Desulfobacterota,0.9648,0,secom_pearson1
p__Thermoplasmatota,p__Desulfobacterota,0.5989,0.0396,secom_pearson1
Not_Assigned,p__Diatomea,-0.8518,4e-04,secom_pearson1
p__Acidobacteriota,p__Diatomea,-0.8725,2e-04,secom_pearson1
p__Actinobacteriota,p__Diatomea,-0.797,0.0019,secom_pearson1
p__Asgardarchaeota,p__Diatomea,-0.8251,0.001,secom_pearson1
p__Bacteroidota,p__Diatomea,0.6689,0.0174,secom_pearson1
p__Bdellovibrionota,p__Diatomea,0.7384,0.0061,secom_pearson1
p__Caldatribacteriota,p__Diatomea,-0.7423,0.0089,secom_pearson1
p__Calditrichota,p__Diatomea,-0.8264,9e-04,secom_pearson1
p__Campilobacterota,p__Diatomea,0.6383,0.0255,secom_pearson1
p__Chloroflexi,p__Diatomea,-0.8069,0.0015,secom_pearson1
p__Cloacimonadota,p__Diatomea,-0.7578,0.0043,secom_pearson1
p__Dependentiae,p__Diatomea,-0.8329,8e-04,secom_pearson1
p__Elusimicrobiota,p__Diatomea,-0.7865,0.007,secom_pearson1
p__Fermentibacterota,p__Diatomea,-0.6896,0.0131,secom_pearson1
p__Gemmatimonadota,p__Diatomea,-0.6877,0.0135,secom_pearson1
p__Halobacterota,p__Diatomea,-0.7421,0.0057,secom_pearson1
p__Latescibacterota,p__Diatomea,-0.6435,0.024,secom_pearson1
p__LCP_89,p__Diatomea,-0.7753,0.003,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Diatomea,-0.7682,0.0035,secom_pearson1
p__Myxococcota,p__Diatomea,0.6575,0.0201,secom_pearson1
p__Nanoarchaeota,p__Diatomea,-0.7662,0.0037,secom_pearson1
p__NB1_j,p__Diatomea,0.7996,0.0018,secom_pearson1
p__Nitrospinota,p__Diatomea,0.6014,0.0386,secom_pearson1
p__Nitrospirota,p__Diatomea,0.8811,2e-04,secom_pearson1
p__NKB15,p__Diatomea,-0.7448,0.0213,secom_pearson1
p__Patescibacteria,p__Diatomea,-0.8768,2e-04,secom_pearson1
p__PAUC34f,p__Diatomea,-0.7211,0.0081,secom_pearson1
p__Planctomycetota,p__Diatomea,0.6008,0.0388,secom_pearson1
p__Proteobacteria,p__Diatomea,0.9024,1e-04,secom_pearson1
p__SAR324_clade(Marine_group_B),p__Diatomea,0.742,0.0089,secom_pearson1
p__Spirochaetota,p__Diatomea,-0.581,0.0476,secom_pearson1
p__Thermoplasmatota,p__Diatomea,-0.8425,6e-04,secom_pearson1
p__Verrucomicrobiota,p__Diatomea,0.8075,0.0015,secom_pearson1
p__WPS_2,p__Diatomea,0.8406,0.0045,secom_pearson1
p__WS1,p__Diatomea,-0.7305,0.0254,secom_pearson1
p__Zixibacteria,p__Diatomea,-0.8024,0.0017,secom_pearson1
p__Asgardarchaeota,p__Elusimicrobiota,0.9279,1e-04,secom_pearson1
p__Bacteroidota,p__Elusimicrobiota,-0.9318,1e-04,secom_pearson1
p__Bdellovibrionota,p__Elusimicrobiota,-0.886,6e-04,secom_pearson1
p__Caldatribacteriota,p__Elusimicrobiota,0.8645,0.0012,secom_pearson1
p__Cloacimonadota,p__Elusimicrobiota,0.8701,0.0011,secom_pearson1
p__Cyanobacteria,p__Elusimicrobiota,-0.8113,0.0044,secom_pearson1
p__Dependentiae,p__Elusimicrobiota,0.9374,1e-04,secom_pearson1
p__Diatomea,p__Elusimicrobiota,-0.7865,0.007,secom_pearson1
p__Fermentibacterota,p__Elusimicrobiota,0.7969,0.0058,secom_pearson1
p__Latescibacterota,p__Elusimicrobiota,0.735,0.0154,secom_pearson1
p__LCP_89,p__Elusimicrobiota,0.8599,0.0014,secom_pearson1
p__Myxococcota,p__Elusimicrobiota,-0.7865,0.007,secom_pearson1
p__Nanoarchaeota,p__Elusimicrobiota,0.9039,3e-04,secom_pearson1
p__NB1_j,p__Elusimicrobiota,-0.9244,1e-04,secom_pearson1
p__Nitrospinota,p__Elusimicrobiota,-0.7176,0.0195,secom_pearson1
p__Nitrospirota,p__Elusimicrobiota,-0.8466,0.002,secom_pearson1
p__NKB15,p__Elusimicrobiota,0.8732,0.0021,secom_pearson1
p__PAUC34f,p__Elusimicrobiota,0.7503,0.0124,secom_pearson1
p__Planctomycetota,p__Elusimicrobiota,-0.8162,0.004,secom_pearson1
p__Proteobacteria,p__Elusimicrobiota,-0.9475,0,secom_pearson1
p__Verrucomicrobiota,p__Elusimicrobiota,-0.9538,0,secom_pearson1
p__WPS_2,p__Elusimicrobiota,-0.9281,0.0026,secom_pearson1
Not_Assigned,p__Fermentibacterota,0.7327,0.0067,secom_pearson1
p__Acidobacteriota,p__Fermentibacterota,0.6186,0.032,secom_pearson1
p__Actinobacteriota,p__Fermentibacterota,0.8232,0.001,secom_pearson1
p__Asgardarchaeota,p__Fermentibacterota,0.9335,0,secom_pearson1
p__Bacteroidota,p__Fermentibacterota,-0.6531,0.0213,secom_pearson1
p__Bdellovibrionota,p__Fermentibacterota,-0.7794,0.0028,secom_pearson1
p__Caldatribacteriota,p__Fermentibacterota,0.938,0,secom_pearson1
p__Calditrichota,p__Fermentibacterota,0.7428,0.0057,secom_pearson1
p__Chloroflexi,p__Fermentibacterota,0.9269,0,secom_pearson1
p__Cloacimonadota,p__Fermentibacterota,0.9673,0,secom_pearson1
p__Crenarchaeota,p__Fermentibacterota,-0.8166,0.0012,secom_pearson1
p__Cyanobacteria,p__Fermentibacterota,-0.7418,0.0057,secom_pearson1
p__Dependentiae,p__Fermentibacterota,0.6014,0.0386,secom_pearson1
p__Desulfobacterota,p__Fermentibacterota,0.7806,0.0027,secom_pearson1
p__Diatomea,p__Fermentibacterota,-0.6896,0.0131,secom_pearson1
p__Elusimicrobiota,p__Fermentibacterota,0.7969,0.0058,secom_pearson1
p__Gemmatimonadota,p__Fermentibacterota,0.6805,0.0149,secom_pearson1
p__Latescibacterota,p__Fermentibacterota,0.9482,0,secom_pearson1
p__LCP_89,p__Fermentibacterota,0.7438,0.0055,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Fermentibacterota,0.8791,2e-04,secom_pearson1
p__Myxococcota,p__Fermentibacterota,-0.8628,3e-04,secom_pearson1
p__Nanoarchaeota,p__Fermentibacterota,0.9521,0,secom_pearson1
p__NB1_j,p__Fermentibacterota,-0.8099,0.0014,secom_pearson1
p__Nitrospinota,p__Fermentibacterota,-0.9216,0,secom_pearson1
p__Nitrospirota,p__Fermentibacterota,-0.7215,0.0081,secom_pearson1
p__NKB15,p__Fermentibacterota,0.7432,0.0217,secom_pearson1
p__Patescibacteria,p__Fermentibacterota,0.7818,0.0027,secom_pearson1
p__PAUC34f,p__Fermentibacterota,0.8017,0.0017,secom_pearson1
p__Planctomycetota,p__Fermentibacterota,-0.8962,1e-04,secom_pearson1
p__Proteobacteria,p__Fermentibacterota,-0.7379,0.0062,secom_pearson1
p__Spirochaetota,p__Fermentibacterota,0.8199,0.0011,secom_pearson1
p__Sumerlaeota,p__Fermentibacterota,0.6917,0.0267,secom_pearson1
p__Sva0485,p__Fermentibacterota,0.9108,0,secom_pearson1
p__Thermoplasmatota,p__Fermentibacterota,0.9054,1e-04,secom_pearson1
p__Verrucomicrobiota,p__Fermentibacterota,-0.7372,0.0062,secom_pearson1
p__WOR_1,p__Fermentibacterota,0.8077,0.0085,secom_pearson1
p__WS1,p__Fermentibacterota,0.9001,9e-04,secom_pearson1
p__WS2,p__Fermentibacterota,0.6852,0.0417,secom_pearson1
p__Zixibacteria,p__Fermentibacterota,0.8812,2e-04,secom_pearson1
p__Fusobacteriota,p__Firmicutes,0.6988,0.0115,secom_pearson1
p__LCP_89,p__Firmicutes,0.5825,0.0469,secom_pearson1
p__NKB15,p__Firmicutes,0.7334,0.0245,secom_pearson1
p__Firmicutes,p__Fusobacteriota,0.6988,0.0115,secom_pearson1
p__Halobacterota,p__Fusobacteriota,0.7256,0.0076,secom_pearson1
p__NKB15,p__Fusobacteriota,0.745,0.0213,secom_pearson1
p__Asgardarchaeota,p__Gemmatimonadota,0.8301,8e-04,secom_pearson1
p__Bacteroidota,p__Gemmatimonadota,-0.871,2e-04,secom_pearson1
p__Bdellovibrionota,p__Gemmatimonadota,-0.82,0.0011,secom_pearson1
p__Caldatribacteriota,p__Gemmatimonadota,0.8399,0.0012,secom_pearson1
p__Campilobacterota,p__Gemmatimonadota,-0.632,0.0275,secom_pearson1
p__Cloacimonadota,p__Gemmatimonadota,0.8138,0.0013,secom_pearson1
p__Cyanobacteria,p__Gemmatimonadota,-0.8978,1e-04,secom_pearson1
p__Dependentiae,p__Gemmatimonadota,0.7274,0.0073,secom_pearson1
p__Diatomea,p__Gemmatimonadota,-0.6877,0.0135,secom_pearson1
p__Fermentibacterota,p__Gemmatimonadota,0.6805,0.0149,secom_pearson1
p__Hydrogenedentes,p__Gemmatimonadota,0.8138,0.0013,secom_pearson1
p__Latescibacterota,p__Gemmatimonadota,0.7219,0.008,secom_pearson1
p__LCP_89,p__Gemmatimonadota,0.8312,8e-04,secom_pearson1
p__Myxococcota,p__Gemmatimonadota,-0.7555,0.0045,secom_pearson1
p__Nanoarchaeota,p__Gemmatimonadota,0.8448,5e-04,secom_pearson1
p__NB1_j,p__Gemmatimonadota,-0.8459,5e-04,secom_pearson1
p__Nitrospinota,p__Gemmatimonadota,-0.696,0.0119,secom_pearson1
p__Nitrospirota,p__Gemmatimonadota,-0.6352,0.0265,secom_pearson1
p__PAUC34f,p__Gemmatimonadota,0.7356,0.0064,secom_pearson1
p__Planctomycetota,p__Gemmatimonadota,-0.6258,0.0295,secom_pearson1
p__Proteobacteria,p__Gemmatimonadota,-0.8531,4e-04,secom_pearson1
p__Sva0485,p__Gemmatimonadota,0.6038,0.0376,secom_pearson1
p__Verrucomicrobiota,p__Gemmatimonadota,-0.8834,1e-04,secom_pearson1
p__WPS_2,p__Gemmatimonadota,-0.8763,0.0019,secom_pearson1
p__Asgardarchaeota,p__Halobacterota,0.6367,0.026,secom_pearson1
p__Bacteroidota,p__Halobacterota,-0.6569,0.0203,secom_pearson1
p__Bdellovibrionota,p__Halobacterota,-0.6596,0.0196,secom_pearson1
p__Dependentiae,p__Halobacterota,0.8466,5e-04,secom_pearson1
p__Diatomea,p__Halobacterota,-0.7421,0.0057,secom_pearson1
p__Fusobacteriota,p__Halobacterota,0.7256,0.0076,secom_pearson1
p__LCP_89,p__Halobacterota,0.6793,0.0151,secom_pearson1
p__NB1_j,p__Halobacterota,-0.7452,0.0054,secom_pearson1
p__Nitrospirota,p__Halobacterota,-0.9005,1e-04,secom_pearson1
p__NKB15,p__Halobacterota,0.9084,7e-04,secom_pearson1
p__Planctomycetota,p__Halobacterota,-0.6169,0.0326,secom_pearson1
p__Proteobacteria,p__Halobacterota,-0.7903,0.0022,secom_pearson1
p__Verrucomicrobiota,p__Halobacterota,-0.7917,0.0021,secom_pearson1
p__WPS_2,p__Halobacterota,-0.7934,0.0107,secom_pearson1
p__Acetothermia,p__Hydrogenedentes,0.687,0.0409,secom_pearson1
p__Actinobacteriota,p__Hydrogenedentes,0.6426,0.0242,secom_pearson1
p__Asgardarchaeota,p__Hydrogenedentes,0.6501,0.0221,secom_pearson1
p__Bdellovibrionota,p__Hydrogenedentes,-0.6798,0.015,secom_pearson1
p__Caldatribacteriota,p__Hydrogenedentes,0.679,0.0216,secom_pearson1
p__Campilobacterota,p__Hydrogenedentes,-0.8213,0.0011,secom_pearson1
p__Chloroflexi,p__Hydrogenedentes,0.6673,0.0177,secom_pearson1
p__Cloacimonadota,p__Hydrogenedentes,0.6898,0.013,secom_pearson1
p__Cyanobacteria,p__Hydrogenedentes,-0.8366,7e-04,secom_pearson1
p__Desulfobacterota,p__Hydrogenedentes,0.7165,0.0087,secom_pearson1
p__Gemmatimonadota,p__Hydrogenedentes,0.8138,0.0013,secom_pearson1
p__Latescibacterota,p__Hydrogenedentes,0.7209,0.0082,secom_pearson1
p__LCP_89,p__Hydrogenedentes,0.7223,0.008,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Hydrogenedentes,0.6794,0.0151,secom_pearson1
p__Myxococcota,p__Hydrogenedentes,-0.577,0.0495,secom_pearson1
p__Nanoarchaeota,p__Hydrogenedentes,0.7135,0.0092,secom_pearson1
p__Nitrospinota,p__Hydrogenedentes,-0.6367,0.026,secom_pearson1
p__Patescibacteria,p__Hydrogenedentes,0.6316,0.0276,secom_pearson1
p__Proteobacteria,p__Hydrogenedentes,-0.6274,0.029,secom_pearson1
p__Spirochaetota,p__Hydrogenedentes,0.8232,0.001,secom_pearson1
p__Sumerlaeota,p__Hydrogenedentes,0.8634,0.0013,secom_pearson1
p__Sva0485,p__Hydrogenedentes,0.6923,0.0126,secom_pearson1
p__Thermoplasmatota,p__Hydrogenedentes,0.6525,0.0214,secom_pearson1
p__Verrucomicrobiota,p__Hydrogenedentes,-0.5777,0.0491,secom_pearson1
p__Zixibacteria,p__Hydrogenedentes,0.6623,0.019,secom_pearson1
Not_Assigned,p__Latescibacterota,0.6294,0.0283,secom_pearson1
p__Acetothermia,p__Latescibacterota,0.7839,0.0124,secom_pearson1
p__Actinobacteriota,p__Latescibacterota,0.7797,0.0028,secom_pearson1
p__Asgardarchaeota,p__Latescibacterota,0.8833,1e-04,secom_pearson1
p__Bacteroidota,p__Latescibacterota,-0.5912,0.0429,secom_pearson1
p__Bdellovibrionota,p__Latescibacterota,-0.7697,0.0034,secom_pearson1
p__Caldatribacteriota,p__Latescibacterota,0.9311,0,secom_pearson1
p__Calditrichota,p__Latescibacterota,0.6283,0.0287,secom_pearson1
p__Campilobacterota,p__Latescibacterota,-0.7339,0.0066,secom_pearson1
p__Chloroflexi,p__Latescibacterota,0.8817,1e-04,secom_pearson1
p__Cloacimonadota,p__Latescibacterota,0.948,0,secom_pearson1
p__Crenarchaeota,p__Latescibacterota,-0.8789,2e-04,secom_pearson1
p__Cyanobacteria,p__Latescibacterota,-0.7815,0.0027,secom_pearson1
p__Desulfobacterota,p__Latescibacterota,0.8903,1e-04,secom_pearson1
p__Diatomea,p__Latescibacterota,-0.6435,0.024,secom_pearson1
p__Elusimicrobiota,p__Latescibacterota,0.735,0.0154,secom_pearson1
p__Fermentibacterota,p__Latescibacterota,0.9482,0,secom_pearson1
p__Gemmatimonadota,p__Latescibacterota,0.7219,0.008,secom_pearson1
p__Hydrogenedentes,p__Latescibacterota,0.7209,0.0082,secom_pearson1
p__LCP_89,p__Latescibacterota,0.7261,0.0075,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Latescibacterota,0.846,5e-04,secom_pearson1
p__Myxococcota,p__Latescibacterota,-0.8748,2e-04,secom_pearson1
p__Nanoarchaeota,p__Latescibacterota,0.9382,0,secom_pearson1
p__NB1_j,p__Latescibacterota,-0.7296,0.0071,secom_pearson1
p__Nitrospinota,p__Latescibacterota,-0.8727,2e-04,secom_pearson1
p__Patescibacteria,p__Latescibacterota,0.7296,0.0071,secom_pearson1
p__PAUC34f,p__Latescibacterota,0.6903,0.013,secom_pearson1
p__Planctomycetota,p__Latescibacterota,-0.7871,0.0024,secom_pearson1
p__Proteobacteria,p__Latescibacterota,-0.6979,0.0116,secom_pearson1
p__Spirochaetota,p__Latescibacterota,0.8855,1e-04,secom_pearson1
p__Sumerlaeota,p__Latescibacterota,0.7634,0.0102,secom_pearson1
p__Sva0485,p__Latescibacterota,0.9641,0,secom_pearson1
p__Thermoplasmatota,p__Latescibacterota,0.8574,4e-04,secom_pearson1
p__Verrucomicrobiota,p__Latescibacterota,-0.6711,0.0169,secom_pearson1
