Taxon1,Taxon2,Correlation,P.value,Method
p__Nitrospirota,p__PAUC34f,-0.7306,0.007,secom_pearson1
p__Patescibacteria,p__PAUC34f,0.8247,0.001,secom_pearson1
p__Planctomycetota,p__PAUC34f,-0.7181,0.0085,secom_pearson1
p__Proteobacteria,p__PAUC34f,-0.75,0.005,secom_pearson1
p__Spirochaetota,p__PAUC34f,0.6935,0.0124,secom_pearson1
p__Sva0485,p__PAUC34f,0.6395,0.0251,secom_pearson1
p__Thermoplasmatota,p__PAUC34f,0.8303,8e-04,secom_pearson1
p__Verrucomicrobiota,p__PAUC34f,-0.8002,0.0018,secom_pearson1
p__WOR_1,p__PAUC34f,0.688,0.0405,secom_pearson1
p__WPS_2,p__PAUC34f,-0.7427,0.0219,secom_pearson1
p__WS1,p__PAUC34f,0.7592,0.0177,secom_pearson1
p__Zixibacteria,p__PAUC34f,0.7908,0.0022,secom_pearson1
Not_Assigned,p__Planctomycetota,-0.7691,0.0035,secom_pearson1
p__Acidobacteriota,p__Planctomycetota,-0.5807,0.0477,secom_pearson1
p__Actinobacteriota,p__Planctomycetota,-0.8413,6e-04,secom_pearson1
p__Asgardarchaeota,p__Planctomycetota,-0.8722,2e-04,secom_pearson1
p__Bacteroidota,p__Planctomycetota,0.6808,0.0148,secom_pearson1
p__Bdellovibrionota,p__Planctomycetota,0.7683,0.0035,secom_pearson1
p__Caldatribacteriota,p__Planctomycetota,-0.8461,0.001,secom_pearson1
p__Calditrichota,p__Planctomycetota,-0.8156,0.0012,secom_pearson1
p__Chloroflexi,p__Planctomycetota,-0.9117,0,secom_pearson1
p__Cloacimonadota,p__Planctomycetota,-0.8991,1e-04,secom_pearson1
p__Crenarchaeota,p__Planctomycetota,0.6345,0.0267,secom_pearson1
p__Cyanobacteria,p__Planctomycetota,0.682,0.0146,secom_pearson1
p__Dependentiae,p__Planctomycetota,-0.6526,0.0214,secom_pearson1
p__Diatomea,p__Planctomycetota,0.6008,0.0388,secom_pearson1
p__Elusimicrobiota,p__Planctomycetota,-0.8162,0.004,secom_pearson1
p__Fermentibacterota,p__Planctomycetota,-0.8962,1e-04,secom_pearson1
p__Gemmatimonadota,p__Planctomycetota,-0.6258,0.0295,secom_pearson1
p__Halobacterota,p__Planctomycetota,-0.6169,0.0326,secom_pearson1
p__Latescibacterota,p__Planctomycetota,-0.7871,0.0024,secom_pearson1
p__LCP_89,p__Planctomycetota,-0.8145,0.0013,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Planctomycetota,-0.9032,1e-04,secom_pearson1
p__Myxococcota,p__Planctomycetota,0.7987,0.0018,secom_pearson1
p__Nanoarchaeota,p__Planctomycetota,-0.891,1e-04,secom_pearson1
p__NB1_j,p__Planctomycetota,0.8879,1e-04,secom_pearson1
p__Nitrospinota,p__Planctomycetota,0.8879,1e-04,secom_pearson1
p__Nitrospirota,p__Planctomycetota,0.7901,0.0022,secom_pearson1
p__NKB15,p__Planctomycetota,-0.8289,0.0057,secom_pearson1
p__Patescibacteria,p__Planctomycetota,-0.6985,0.0115,secom_pearson1
p__PAUC34f,p__Planctomycetota,-0.7181,0.0085,secom_pearson1
p__Proteobacteria,p__Planctomycetota,0.7494,0.005,secom_pearson1
p__Spirochaetota,p__Planctomycetota,-0.7682,0.0035,secom_pearson1
p__Sva0485,p__Planctomycetota,-0.732,0.0068,secom_pearson1
p__Thermoplasmatota,p__Planctomycetota,-0.8967,1e-04,secom_pearson1
p__Verrucomicrobiota,p__Planctomycetota,0.8008,0.0017,secom_pearson1
p__WOR_1,p__Planctomycetota,-0.8418,0.0044,secom_pearson1
p__WPS_2,p__Planctomycetota,0.7648,0.0164,secom_pearson1
p__WS1,p__Planctomycetota,-0.719,0.029,secom_pearson1
p__Zixibacteria,p__Planctomycetota,-0.9,1e-04,secom_pearson1
Not_Assigned,p__Proteobacteria,-0.9622,0,secom_pearson1
p__Acidobacteriota,p__Proteobacteria,-0.9089,0,secom_pearson1
p__Actinobacteriota,p__Proteobacteria,-0.9529,0,secom_pearson1
p__Asgardarchaeota,p__Proteobacteria,-0.9125,0,secom_pearson1
p__Bacteroidota,p__Proteobacteria,0.8833,1e-04,secom_pearson1
p__Bdellovibrionota,p__Proteobacteria,0.8688,2e-04,secom_pearson1
p__Caldatribacteriota,p__Proteobacteria,-0.8331,0.0014,secom_pearson1
p__Calditrichota,p__Proteobacteria,-0.9583,0,secom_pearson1
p__Campilobacterota,p__Proteobacteria,0.6024,0.0382,secom_pearson1
p__Chloroflexi,p__Proteobacteria,-0.9185,0,secom_pearson1
p__Cloacimonadota,p__Proteobacteria,-0.8357,7e-04,secom_pearson1
p__Cyanobacteria,p__Proteobacteria,0.7076,0.01,secom_pearson1
p__Dependentiae,p__Proteobacteria,-0.9119,0,secom_pearson1
p__Diatomea,p__Proteobacteria,0.9024,1e-04,secom_pearson1
p__Elusimicrobiota,p__Proteobacteria,-0.9475,0,secom_pearson1
p__Fermentibacterota,p__Proteobacteria,-0.7379,0.0062,secom_pearson1
p__Gemmatimonadota,p__Proteobacteria,-0.8531,4e-04,secom_pearson1
p__Halobacterota,p__Proteobacteria,-0.7903,0.0022,secom_pearson1
p__Hydrogenedentes,p__Proteobacteria,-0.6274,0.029,secom_pearson1
p__Latescibacterota,p__Proteobacteria,-0.6979,0.0116,secom_pearson1
p__LCP_89,p__Proteobacteria,-0.8901,1e-04,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Proteobacteria,-0.9249,0,secom_pearson1
p__Myxococcota,p__Proteobacteria,0.704,0.0106,secom_pearson1
p__Nanoarchaeota,p__Proteobacteria,-0.8741,2e-04,secom_pearson1
p__NB1_j,p__Proteobacteria,0.9199,0,secom_pearson1
p__Nitrospinota,p__Proteobacteria,0.7018,0.011,secom_pearson1
p__Nitrospirota,p__Proteobacteria,0.8804,2e-04,secom_pearson1
p__NKB15,p__Proteobacteria,-0.8261,0.0061,secom_pearson1
p__Patescibacteria,p__Proteobacteria,-0.8949,1e-04,secom_pearson1
p__PAUC34f,p__Proteobacteria,-0.75,0.005,secom_pearson1
p__Planctomycetota,p__Proteobacteria,0.7494,0.005,secom_pearson1
p__Spirochaetota,p__Proteobacteria,-0.7388,0.0061,secom_pearson1
p__Sumerlaeota,p__Proteobacteria,-0.7579,0.0111,secom_pearson1
p__Thermoplasmatota,p__Proteobacteria,-0.9393,0,secom_pearson1
p__Verrucomicrobiota,p__Proteobacteria,0.9572,0,secom_pearson1
p__WOR_1,p__Proteobacteria,-0.8685,0.0024,secom_pearson1
p__WPS_2,p__Proteobacteria,0.9663,0,secom_pearson1
p__WS1,p__Proteobacteria,-0.9296,3e-04,secom_pearson1
p__WS2,p__Proteobacteria,-0.759,0.0177,secom_pearson1
p__Zixibacteria,p__Proteobacteria,-0.9368,0,secom_pearson1
p__Diatomea,p__SAR324_clade(Marine_group_B),0.742,0.0089,secom_pearson1
p__LCP_89,p__SAR324_clade(Marine_group_B),-0.6178,0.0428,secom_pearson1
p__Patescibacteria,p__SAR324_clade(Marine_group_B),-0.627,0.039,secom_pearson1
p__Asgardarchaeota,p__Spirochaetota,0.8602,3e-04,secom_pearson1
p__Bacteroidota,p__Spirochaetota,-0.7113,0.0095,secom_pearson1
p__Bdellovibrionota,p__Spirochaetota,-0.895,1e-04,secom_pearson1
p__Caldatribacteriota,p__Spirochaetota,0.9346,0,secom_pearson1
p__Campilobacterota,p__Spirochaetota,-0.6218,0.0309,secom_pearson1
p__Cloacimonadota,p__Spirochaetota,0.9058,0,secom_pearson1
p__Crenarchaeota,p__Spirochaetota,-0.6992,0.0114,secom_pearson1
p__Cyanobacteria,p__Spirochaetota,-0.8878,1e-04,secom_pearson1
p__Desulfobacterota,p__Spirochaetota,0.8025,0.0017,secom_pearson1
p__Diatomea,p__Spirochaetota,-0.581,0.0476,secom_pearson1
p__Fermentibacterota,p__Spirochaetota,0.8199,0.0011,secom_pearson1
p__Hydrogenedentes,p__Spirochaetota,0.8232,0.001,secom_pearson1
p__Latescibacterota,p__Spirochaetota,0.8855,1e-04,secom_pearson1
p__LCP_89,p__Spirochaetota,0.8522,4e-04,secom_pearson1
p__Myxococcota,p__Spirochaetota,-0.8793,2e-04,secom_pearson1
p__Nanoarchaeota,p__Spirochaetota,0.9042,1e-04,secom_pearson1
p__NB1_j,p__Spirochaetota,-0.8041,0.0016,secom_pearson1
p__Nitrospinota,p__Spirochaetota,-0.8648,3e-04,secom_pearson1
p__PAUC34f,p__Spirochaetota,0.6935,0.0124,secom_pearson1
p__Planctomycetota,p__Spirochaetota,-0.7682,0.0035,secom_pearson1
p__Proteobacteria,p__Spirochaetota,-0.7388,0.0061,secom_pearson1
p__Sva0485,p__Spirochaetota,0.8437,6e-04,secom_pearson1
p__Verrucomicrobiota,p__Spirochaetota,-0.7856,0.0025,secom_pearson1
p__WPS_2,p__Spirochaetota,-0.7607,0.0173,secom_pearson1
p__Asgardarchaeota,p__Sumerlaeota,0.7906,0.0065,secom_pearson1
p__Bacteroidota,p__Sumerlaeota,-0.7156,0.02,secom_pearson1
p__Bdellovibrionota,p__Sumerlaeota,-0.7325,0.016,secom_pearson1
p__Caldatribacteriota,p__Sumerlaeota,0.8596,0.003,secom_pearson1
p__Campilobacterota,p__Sumerlaeota,-0.6475,0.043,secom_pearson1
p__Cloacimonadota,p__Sumerlaeota,0.8302,0.0029,secom_pearson1
p__Cyanobacteria,p__Sumerlaeota,-0.9058,3e-04,secom_pearson1
p__Fermentibacterota,p__Sumerlaeota,0.6917,0.0267,secom_pearson1
p__Hydrogenedentes,p__Sumerlaeota,0.8634,0.0013,secom_pearson1
p__Latescibacterota,p__Sumerlaeota,0.7634,0.0102,secom_pearson1
p__LCP_89,p__Sumerlaeota,0.8089,0.0046,secom_pearson1
p__Myxococcota,p__Sumerlaeota,-0.734,0.0157,secom_pearson1
p__Nanoarchaeota,p__Sumerlaeota,0.8571,0.0015,secom_pearson1
p__NB1_j,p__Sumerlaeota,-0.7719,0.0089,secom_pearson1
p__Proteobacteria,p__Sumerlaeota,-0.7579,0.0111,secom_pearson1
p__Verrucomicrobiota,p__Sumerlaeota,-0.7793,0.0079,secom_pearson1
p__WPS_2,p__Sumerlaeota,-0.7754,0.0405,secom_pearson1
p__Actinobacteriota,p__Sva0485,0.6481,0.0227,secom_pearson1
p__Asgardarchaeota,p__Sva0485,0.7902,0.0022,secom_pearson1
p__Bdellovibrionota,p__Sva0485,-0.6672,0.0178,secom_pearson1
p__Caldatribacteriota,p__Sva0485,0.838,0.0013,secom_pearson1
p__Campilobacterota,p__Sva0485,-0.6562,0.0205,secom_pearson1
p__Chloroflexi,p__Sva0485,0.7803,0.0028,secom_pearson1
p__Cloacimonadota,p__Sva0485,0.8869,1e-04,secom_pearson1
p__Crenarchaeota,p__Sva0485,-0.9321,0,secom_pearson1
p__Cyanobacteria,p__Sva0485,-0.7164,0.0088,secom_pearson1
p__Desulfobacterota,p__Sva0485,0.9648,0,secom_pearson1
p__Fermentibacterota,p__Sva0485,0.9108,0,secom_pearson1
p__Gemmatimonadota,p__Sva0485,0.6038,0.0376,secom_pearson1
p__Hydrogenedentes,p__Sva0485,0.6923,0.0126,secom_pearson1
p__Latescibacterota,p__Sva0485,0.9641,0,secom_pearson1
p__LCP_89,p__Sva0485,0.6385,0.0255,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Sva0485,0.7349,0.0065,secom_pearson1
p__Myxococcota,p__Sva0485,-0.8063,0.0015,secom_pearson1
p__Nanoarchaeota,p__Sva0485,0.8522,4e-04,secom_pearson1
p__NB1_j,p__Sva0485,-0.6057,0.0369,secom_pearson1
p__Nitrospinota,p__Sva0485,-0.8814,2e-04,secom_pearson1
p__Patescibacteria,p__Sva0485,0.6129,0.0341,secom_pearson1
p__PAUC34f,p__Sva0485,0.6395,0.0251,secom_pearson1
p__Planctomycetota,p__Sva0485,-0.732,0.0068,secom_pearson1
p__Spirochaetota,p__Sva0485,0.8437,6e-04,secom_pearson1
p__Thermoplasmatota,p__Sva0485,0.7421,0.0057,secom_pearson1
p__Zixibacteria,p__Sva0485,0.7124,0.0093,secom_pearson1
p__Asgardarchaeota,p__Thermoplasmatota,0.9748,0,secom_pearson1
p__Bacteroidota,p__Thermoplasmatota,-0.8385,7e-04,secom_pearson1
p__Bdellovibrionota,p__Thermoplasmatota,-0.9113,0,secom_pearson1
p__Caldatribacteriota,p__Thermoplasmatota,0.9554,0,secom_pearson1
p__Cloacimonadota,p__Thermoplasmatota,0.9639,0,secom_pearson1
p__Crenarchaeota,p__Thermoplasmatota,-0.5891,0.0439,secom_pearson1
p__Cyanobacteria,p__Thermoplasmatota,-0.8072,0.0015,secom_pearson1
p__Dependentiae,p__Thermoplasmatota,0.8124,0.0013,secom_pearson1
p__Desulfobacterota,p__Thermoplasmatota,0.5989,0.0396,secom_pearson1
p__Diatomea,p__Thermoplasmatota,-0.8425,6e-04,secom_pearson1
p__Fermentibacterota,p__Thermoplasmatota,0.9054,1e-04,secom_pearson1
p__Hydrogenedentes,p__Thermoplasmatota,0.6525,0.0214,secom_pearson1
p__Latescibacterota,p__Thermoplasmatota,0.8574,4e-04,secom_pearson1
p__LCP_89,p__Thermoplasmatota,0.9235,0,secom_pearson1
p__Myxococcota,p__Thermoplasmatota,-0.8643,3e-04,secom_pearson1
p__Nanoarchaeota,p__Thermoplasmatota,0.9745,0,secom_pearson1
p__NB1_j,p__Thermoplasmatota,-0.9651,0,secom_pearson1
p__Nitrospinota,p__Thermoplasmatota,-0.8759,2e-04,secom_pearson1
p__Nitrospirota,p__Thermoplasmatota,-0.8697,2e-04,secom_pearson1
p__NKB15,p__Thermoplasmatota,0.8655,0.0026,secom_pearson1
p__PAUC34f,p__Thermoplasmatota,0.8303,8e-04,secom_pearson1
p__Planctomycetota,p__Thermoplasmatota,-0.8967,1e-04,secom_pearson1
p__Proteobacteria,p__Thermoplasmatota,-0.9393,0,secom_pearson1
p__Sva0485,p__Thermoplasmatota,0.7421,0.0057,secom_pearson1
p__Verrucomicrobiota,p__Thermoplasmatota,-0.9439,0,secom_pearson1
p__WPS_2,p__Thermoplasmatota,-0.9036,8e-04,secom_pearson1
Not_Assigned,p__Verrucomicrobiota,-0.9478,0,secom_pearson1
p__Acetothermia,p__Verrucomicrobiota,-0.7417,0.0222,secom_pearson1
p__Acidobacteriota,p__Verrucomicrobiota,-0.8794,2e-04,secom_pearson1
p__Actinobacteriota,p__Verrucomicrobiota,-0.9582,0,secom_pearson1
p__Asgardarchaeota,p__Verrucomicrobiota,-0.8979,1e-04,secom_pearson1
p__Bacteroidota,p__Verrucomicrobiota,0.933,0,secom_pearson1
p__Bdellovibrionota,p__Verrucomicrobiota,0.9081,0,secom_pearson1
p__Caldatribacteriota,p__Verrucomicrobiota,-0.8403,0.0012,secom_pearson1
p__Calditrichota,p__Verrucomicrobiota,-0.977,0,secom_pearson1
p__Chloroflexi,p__Verrucomicrobiota,-0.9266,0,secom_pearson1
p__Cloacimonadota,p__Verrucomicrobiota,-0.8415,6e-04,secom_pearson1
p__Cyanobacteria,p__Verrucomicrobiota,0.7668,0.0036,secom_pearson1
p__Dependentiae,p__Verrucomicrobiota,-0.8913,1e-04,secom_pearson1
p__Diatomea,p__Verrucomicrobiota,0.8075,0.0015,secom_pearson1
p__Elusimicrobiota,p__Verrucomicrobiota,-0.9538,0,secom_pearson1
p__Fermentibacterota,p__Verrucomicrobiota,-0.7372,0.0062,secom_pearson1
p__Gemmatimonadota,p__Verrucomicrobiota,-0.8834,1e-04,secom_pearson1
p__Halobacterota,p__Verrucomicrobiota,-0.7917,0.0021,secom_pearson1
p__Hydrogenedentes,p__Verrucomicrobiota,-0.5777,0.0491,secom_pearson1
p__Latescibacterota,p__Verrucomicrobiota,-0.6711,0.0169,secom_pearson1
p__LCP_89,p__Verrucomicrobiota,-0.9075,0,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__Verrucomicrobiota,-0.9444,0,secom_pearson1
p__Myxococcota,p__Verrucomicrobiota,0.774,0.0031,secom_pearson1
p__Nanoarchaeota,p__Verrucomicrobiota,-0.8696,2e-04,secom_pearson1
p__NB1_j,p__Verrucomicrobiota,0.9683,0,secom_pearson1
p__Nitrospinota,p__Verrucomicrobiota,0.743,0.0056,secom_pearson1
p__Nitrospirota,p__Verrucomicrobiota,0.8626,3e-04,secom_pearson1
p__NKB15,p__Verrucomicrobiota,-0.8442,0.0042,secom_pearson1
p__Patescibacteria,p__Verrucomicrobiota,-0.8227,0.001,secom_pearson1
p__PAUC34f,p__Verrucomicrobiota,-0.8002,0.0018,secom_pearson1
p__Planctomycetota,p__Verrucomicrobiota,0.8008,0.0017,secom_pearson1
p__Proteobacteria,p__Verrucomicrobiota,0.9572,0,secom_pearson1
p__Spirochaetota,p__Verrucomicrobiota,-0.7856,0.0025,secom_pearson1
p__Sumerlaeota,p__Verrucomicrobiota,-0.7793,0.0079,secom_pearson1
p__Thermoplasmatota,p__Verrucomicrobiota,-0.9439,0,secom_pearson1
p__WOR_1,p__Verrucomicrobiota,-0.936,2e-04,secom_pearson1
p__WPS_2,p__Verrucomicrobiota,0.9485,1e-04,secom_pearson1
p__WS1,p__Verrucomicrobiota,-0.9447,1e-04,secom_pearson1
p__WS2,p__Verrucomicrobiota,-0.8142,0.0076,secom_pearson1
p__Zixibacteria,p__Verrucomicrobiota,-0.9513,0,secom_pearson1
p__Asgardarchaeota,p__WOR_1,0.876,0.002,secom_pearson1
p__Bacteroidota,p__WOR_1,-0.8692,0.0023,secom_pearson1
p__Bdellovibrionota,p__WOR_1,-0.8568,0.0032,secom_pearson1
p__Caldatribacteriota,p__WOR_1,0.748,0.0328,secom_pearson1
p__Cloacimonadota,p__WOR_1,0.7874,0.0118,secom_pearson1
p__Dependentiae,p__WOR_1,0.8016,0.0094,secom_pearson1
p__Fermentibacterota,p__WOR_1,0.8077,0.0085,secom_pearson1
p__Latescibacterota,p__WOR_1,0.6799,0.0439,secom_pearson1
p__LCP_89,p__WOR_1,0.7862,0.012,secom_pearson1
p__Myxococcota,p__WOR_1,-0.6875,0.0407,secom_pearson1
p__Nanoarchaeota,p__WOR_1,0.8209,0.0067,secom_pearson1
p__NB1_j,p__WOR_1,-0.868,0.0024,secom_pearson1
p__Nitrospinota,p__WOR_1,-0.7713,0.0149,secom_pearson1
p__Nitrospirota,p__WOR_1,-0.8022,0.0093,secom_pearson1
p__NKB15,p__WOR_1,0.8924,0.0069,secom_pearson1
p__PAUC34f,p__WOR_1,0.688,0.0405,secom_pearson1
p__Planctomycetota,p__WOR_1,-0.8418,0.0044,secom_pearson1
p__Proteobacteria,p__WOR_1,-0.8685,0.0024,secom_pearson1
p__Verrucomicrobiota,p__WOR_1,-0.936,2e-04,secom_pearson1
p__WPS_2,p__WOR_1,-0.9062,0.0128,secom_pearson1
Not_Assigned,p__WPS_2,-0.8785,0.0018,secom_pearson1
p__Acetothermia,p__WPS_2,-0.8596,0.0282,secom_pearson1
p__Acidobacteriota,p__WPS_2,-0.8245,0.0062,secom_pearson1
p__Actinobacteriota,p__WPS_2,-0.921,4e-04,secom_pearson1
p__Asgardarchaeota,p__WPS_2,-0.8197,0.0068,secom_pearson1
p__Bacteroidota,p__WPS_2,0.8453,0.0041,secom_pearson1
p__Bdellovibrionota,p__WPS_2,0.8985,0.001,secom_pearson1
p__Caldatribacteriota,p__WPS_2,-0.8046,0.016,secom_pearson1
p__Calditrichota,p__WPS_2,-0.9243,4e-04,secom_pearson1
p__Chloroflexi,p__WPS_2,-0.882,0.0017,secom_pearson1
p__Cloacimonadota,p__WPS_2,-0.7583,0.0179,secom_pearson1
p__Cyanobacteria,p__WPS_2,0.857,0.0032,secom_pearson1
p__Dependentiae,p__WPS_2,-0.7983,0.0099,secom_pearson1
p__Diatomea,p__WPS_2,0.8406,0.0045,secom_pearson1
p__Elusimicrobiota,p__WPS_2,-0.9281,0.0026,secom_pearson1
p__Gemmatimonadota,p__WPS_2,-0.8763,0.0019,secom_pearson1
p__Halobacterota,p__WPS_2,-0.7934,0.0107,secom_pearson1
p__LCP_89,p__WPS_2,-0.8884,0.0014,secom_pearson1
p__Marinimicrobia_(SAR406_clade),p__WPS_2,-0.9006,9e-04,secom_pearson1
p__Myxococcota,p__WPS_2,0.6974,0.0368,secom_pearson1
p__Nanoarchaeota,p__WPS_2,-0.8172,0.0072,secom_pearson1
p__NB1_j,p__WPS_2,0.9071,7e-04,secom_pearson1
p__Nitrospinota,p__WPS_2,0.7015,0.0352,secom_pearson1
p__Nitrospirota,p__WPS_2,0.8194,0.0069,secom_pearson1
p__NKB15,p__WPS_2,-0.9135,0.0109,secom_pearson1
p__Patescibacteria,p__WPS_2,-0.8267,0.006,secom_pearson1
p__PAUC34f,p__WPS_2,-0.7427,0.0219,secom_pearson1
p__Planctomycetota,p__WPS_2,0.7648,0.0164,secom_pearson1
p__Proteobacteria,p__WPS_2,0.9663,0,secom_pearson1
p__Spirochaetota,p__WPS_2,-0.7607,0.0173,secom_pearson1
p__Sumerlaeota,p__WPS_2,-0.7754,0.0405,secom_pearson1
p__Thermoplasmatota,p__WPS_2,-0.9036,8e-04,secom_pearson1
p__Verrucomicrobiota,p__WPS_2,0.9485,1e-04,secom_pearson1
p__WOR_1,p__WPS_2,-0.9062,0.0128,secom_pearson1
p__WS1,p__WPS_2,-0.8903,0.0174,secom_pearson1
p__WS2,p__WPS_2,-0.8663,0.0256,secom_pearson1
p__Zixibacteria,p__WPS_2,-0.9238,4e-04,secom_pearson1
p__Asgardarchaeota,p__WS1,0.9282,3e-04,secom_pearson1
p__Bacteroidota,p__WS1,-0.9555,1e-04,secom_pearson1
p__Bdellovibrionota,p__WS1,-0.8502,0.0037,secom_pearson1
p__Caldatribacteriota,p__WS1,0.9191,5e-04,secom_pearson1
p__Cloacimonadota,p__WS1,0.9321,3e-04,secom_pearson1
p__Crenarchaeota,p__WS1,0.7578,0.018,secom_pearson1
p__Dependentiae,p__WS1,0.9058,8e-04,secom_pearson1
p__Diatomea,p__WS1,-0.7305,0.0254,secom_pearson1
p__Fermentibacterota,p__WS1,0.9001,9e-04,secom_pearson1
p__LCP_89,p__WS1,0.9014,9e-04,secom_pearson1
p__Nanoarchaeota,p__WS1,0.9548,1e-04,secom_pearson1
p__NB1_j,p__WS1,-0.9285,3e-04,secom_pearson1
p__Nitrospirota,p__WS1,-0.7102,0.0321,secom_pearson1
p__PAUC34f,p__WS1,0.7592,0.0177,secom_pearson1
p__Planctomycetota,p__WS1,-0.719,0.029,secom_pearson1
p__Proteobacteria,p__WS1,-0.9296,3e-04,secom_pearson1
p__Verrucomicrobiota,p__WS1,-0.9447,1e-04,secom_pearson1
p__WPS_2,p__WS1,-0.8903,0.0174,secom_pearson1
p__Asgardarchaeota,p__WS2,0.7496,0.0201,secom_pearson1
p__Bacteroidota,p__WS2,-0.8893,0.0013,secom_pearson1
p__Bdellovibrionota,p__WS2,-0.7575,0.0181,secom_pearson1
p__Caldatribacteriota,p__WS2,0.9344,2e-04,secom_pearson1
p__Cloacimonadota,p__WS2,0.8357,0.005,secom_pearson1
p__Cyanobacteria,p__WS2,-0.8668,0.0025,secom_pearson1
p__Fermentibacterota,p__WS2,0.6852,0.0417,secom_pearson1
p__Latescibacterota,p__WS2,0.8071,0.0085,secom_pearson1
p__LCP_89,p__WS2,0.7324,0.0248,secom_pearson1
p__Myxococcota,p__WS2,-0.7039,0.0343,secom_pearson1
p__Nanoarchaeota,p__WS2,0.8988,0.001,secom_pearson1
p__NB1_j,p__WS2,-0.76,0.0175,secom_pearson1
p__Proteobacteria,p__WS2,-0.759,0.0177,secom_pearson1
p__Verrucomicrobiota,p__WS2,-0.8142,0.0076,secom_pearson1
p__WPS_2,p__WS2,-0.8663,0.0256,secom_pearson1
p__Asgardarchaeota,p__Zixibacteria,0.9634,0,secom_pearson1
p__Bacteroidota,p__Zixibacteria,-0.8571,4e-04,secom_pearson1
p__Bdellovibrionota,p__Zixibacteria,-0.9012,1e-04,secom_pearson1
p__Caldatribacteriota,p__Zixibacteria,0.9409,0,secom_pearson1
p__Cloacimonadota,p__Zixibacteria,0.9459,0,secom_pearson1
p__Cyanobacteria,p__Zixibacteria,-0.8447,5e-04,secom_pearson1
p__Dependentiae,p__Zixibacteria,0.815,0.0012,secom_pearson1
p__Diatomea,p__Zixibacteria,-0.8024,0.0017,secom_pearson1
p__Fermentibacterota,p__Zixibacteria,0.8812,2e-04,secom_pearson1
p__Hydrogenedentes,p__Zixibacteria,0.6623,0.019,secom_pearson1
p__Latescibacterota,p__Zixibacteria,0.8328,8e-04,secom_pearson1
p__LCP_89,p__Zixibacteria,0.9144,0,secom_pearson1
p__Myxococcota,p__Zixibacteria,-0.8513,4e-04,secom_pearson1
p__Nanoarchaeota,p__Zixibacteria,0.9677,0,secom_pearson1
p__NB1_j,p__Zixibacteria,-0.9678,0,secom_pearson1
p__Nitrospinota,p__Zixibacteria,-0.847,5e-04,secom_pearson1
p__Nitrospirota,p__Zixibacteria,-0.8553,4e-04,secom_pearson1
p__NKB15,p__Zixibacteria,0.8713,0.0022,secom_pearson1
p__PAUC34f,p__Zixibacteria,0.7908,0.0022,secom_pearson1
p__Planctomycetota,p__Zixibacteria,-0.9,1e-04,secom_pearson1
p__Proteobacteria,p__Zixibacteria,-0.9368,0,secom_pearson1
p__Sva0485,p__Zixibacteria,0.7124,0.0093,secom_pearson1
p__Verrucomicrobiota,p__Zixibacteria,-0.9513,0,secom_pearson1
p__WPS_2,p__Zixibacteria,-0.9238,4e-04,secom_pearson1
